Myles Rogers,1,45,4,1,4,1,2,19,23,28
Ariel Lucero,2,21,1,2,5,1,2,19,20,31
Sienna Shah,2,42,4,1,2,5,2,23,26,33
Denzel Crawford,2,47,4,1,2,4,2,24,27,36
Emelia Norman,2,48,4,2,3,3,2,30,22,40
Abigail Koch,2,41,7,1,6,1,2,21,21,35
Lennon Huber,1,33,1,2,5,1,2,28,5,34
Izabella Coffey,2,38,7,1,5,1,2,21,26,35
Alexzander Stafford,1,39,3,1,5,1,1,19,30,34
Jazlynn Mays,2,67,4,2,2,2,2,23,20,38
Damien Crawford,2,22,2,2,5,1,2,10,20,22
Christine Flores,2,31,4,1,5,7,2,24,32,38
Lilly Roth,2,45,4,1,5,1,2,30,35,40
Maddox Avery,1,26,4,2,5,1,1,23,34,39
Mireya Lara,1,51,5,1,2,8,2,22,24,35
Calvin Harvey,2,37,5,1,3,1,2,22,28,38
Kendall Fernandez,1,33,1,2,4,1,2,23,13,30
Jay Edwards,2,61,8,1,3,1,2,27,31,34
Zackary Parker,2,33,1,2,4,1,2,22,18,35
Carina Horn,2,42,4,1,4,8,2,18,14,34
Malcolm Romero,3,45,4,1,6,1,2,21,19,30
Kassandra Obrien,2,57,4,2,4,8,2,24,23,27
Kali Arroyo,2,60,4,2,5,5,1,25,30,27
Salvatore Cruz,1,23,1,2,6, ,2,9,5,23
Ellis Gaines,2,48,4,1,4,1,2,28,25,37
Maximus Huerta,2,55,1,1,6,1,2,27,27,39
Jimmy Wiley,2,38,4,1,5, ,2,28,30,40
Rohan Ferrell,1,27,2,2,3,1,2,20,20,25
Damari Nixon,1,21,1,2,3,5,2,27,33,30
Chloe Forbes,1,37,4,1,5,1,2,24,18,33
Josiah Reese,2,27,4,1,2,4,2,18,29,29
Mya Baldwin,1,31,3,2,6,9,2,16,16,32
Danica Perkins,1,52,2,1,3,1,2,29,20,35
Dexter Bush,1,64,4,2,6,8,2,25,19,35
Myla Nichols,2,35,1,2,4,1,1,18,16,29
Ashlee Fields,3,22,1,2,3,1,1,23,23,23
Katelyn Jarvis,1,23,1,2,6,1,2,18,32,40
Yasmin Spears,1,56,2,1,6,1,2,24,13,25
Milton Strickland,2,24,1,2,3,1,2,22,18,29
Karli Sheppard,3,36,4,1,3,1,2,20,22,32
Emma Perez,2,37,6,1,3,1,2,19,14,18
Roselyn Murphy,1,50,5,1,6,8,2,27,32,35
Alana Petty,1,37,4,1,4,1,2,27,22,38
Beau Cooke,1,40,4,1,5,8,2,25,31,40
Crystal Haas,2,27,3,2,5,1,2,21,28,31
Dahlia Burnett,1,51,4,1,5,1,2,26,30,37
Emery Little,1,23,1,2,3,1,2,14,17,28
Zachariah Mcbride,2,37,3,2,5,1,2,29,35,38
Reginald Erickson,2,19,1,2,4,1, ,21,25,32
Brayan Moses,2,48,4,1,4,5,2,21,14,37
Elaina Finley,1,50,4,1,4,1,2,17,27,38
Ally Dunn,1,49,4,1,2, , ,17,23,24
Micheal Morrison,2,36,6,1,2,1,2,14,20,29
Donavan Glenn,3,45,4,1,6,1,2,27,22,37
Maddison Hunter,2,18,2,2,2,2,1,13,8,18
Darrell Clark,1,22,1,2,3,1,2,22,15,21
Juliana Crane,3,19,2,2,3,1,2,16,23,27
Mikayla Petersen,1,27,3,2,3,8,1,26,29,38
Tommy Mann,2,46,4,1,2,5,2,24,26,37
Lena James,1,59,5,2,2, ,2, ,12,27
Dominic Frazier,2,20,3,2,4,8,1,15,14,24
Pierre Mcneil,1,55,7,2,5,1,2,24,19,38
Joaquin Mathews,2,23,2,2,5,1,2,20,24,36
Kenny Hubbard,2,30,4,1,2,8,1,15,11,34
Mckinley Davidson,1,22,1,2,5,1,2,25,28,36
